City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
224,Ode,7.7899,5.7117,75.29,89,100,9.89,NG,2021-05-02 22:12:09,overcast clouds
225,Basi,26.8333,76.0333,84.2,30,40,1.14,IN,2021-05-02 22:12:10,haze
226,Tuatapere,-46.1333,167.6833,50.0,89,32,3.0,NZ,2021-05-02 22:03:29,scattered clouds
227,Rafaela,-31.2503,-61.4867,69.53,68,54,7.25,AR,2021-05-02 22:12:14,broken clouds
228,Lata,40.1629,-8.3327,55.99,72,45,8.01,PT,2021-05-02 22:12:15,scattered clouds
229,Taoudenni,22.6783,-3.9836,82.31,49,47,15.26,ML,2021-05-02 22:06:47,scattered clouds
230,Lewistown,40.5992,-77.5714,78.8,73,1,5.75,US,2021-05-02 22:12:17,haze
231,Segou,13.4317,-6.2157,91.85,33,60,14.83,ML,2021-05-02 22:07:23,broken clouds
232,Lebu,-37.6167,-73.65,54.59,91,100,6.51,CL,2021-05-02 22:05:12,overcast clouds
233,Klaksvik,62.2266,-6.589,35.6,69,20,8.05,FO,2021-05-02 22:05:04,few clouds
234,Abalak,58.1286,68.5944,43.02,88,99,5.21,RU,2021-05-02 22:12:23,overcast clouds
235,Cidreira,-30.1811,-50.2056,68.88,80,53,8.86,BR,2021-05-02 22:12:24,broken clouds
236,Harper,4.375,-7.7169,81.01,80,100,9.33,LR,2021-05-02 22:12:26,overcast clouds
237,Rudbar,30.15,62.6,78.03,41,29,9.1,AF,2021-05-02 22:12:27,scattered clouds
238,Rocha,-34.4833,-54.3333,63.66,84,100,5.35,UY,2021-05-02 22:12:29,overcast clouds
239,Biak,-0.9131,122.8766,75.96,82,45,5.1,ID,2021-05-02 22:12:30,scattered clouds
240,Atambua,-9.1061,124.8925,69.78,89,13,4.74,ID,2021-05-02 22:12:31,few clouds
241,Fort Nelson,58.8053,-122.7002,55.4,33,40,10.36,CA,2021-05-02 22:10:28,scattered clouds
242,Kaitangata,-46.2817,169.8464,51.84,64,81,4.68,NZ,2021-05-02 22:12:34,broken clouds
243,Sarai,53.7458,41.0213,50.27,92,100,9.78,RU,2021-05-02 22:12:36,overcast clouds
244,Hayden,47.766,-116.7866,64.0,29,40,5.75,US,2021-05-02 22:12:37,scattered clouds
245,Chokurdakh,70.6333,147.9167,15.73,94,71,4.74,RU,2021-05-02 22:12:38,broken clouds
246,Mount Isa,-20.7333,139.5,68.0,52,0,9.44,AU,2021-05-02 22:12:39,clear sky
247,Luan,46.3592,6.9759,42.01,89,98,0.76,CH,2021-05-02 22:12:40,overcast clouds
248,San Policarpo,12.1791,125.5072,80.28,85,65,13.49,PH,2021-05-02 22:12:41,broken clouds
249,Sungaipenuh,-2.0833,101.3833,64.31,96,87,4.23,ID,2021-05-02 22:12:42,overcast clouds
250,Weligama,5.9667,80.4167,77.27,88,99,3.13,LK,2021-05-02 22:09:28,overcast clouds
251,Ghanzi,-21.5667,21.7833,60.03,54,41,8.93,BW,2021-05-02 22:12:44,scattered clouds
252,Dingle,10.9995,122.6711,77.52,88,71,7.9,PH,2021-05-02 22:12:47,broken clouds
253,Poum,-20.2333,164.0167,76.32,75,20,10.42,NC,2021-05-02 22:12:49,few clouds
254,Cordoba,-31.4135,-64.1811,73.0,60,0,6.91,AR,2021-05-02 22:10:17,clear sky
255,Kipushi,-11.7667,27.2333,61.02,96,82,7.36,CD,2021-05-02 22:12:51,broken clouds
256,Zuya,45.0531,34.3154,62.69,45,100,7.96,UA,2021-05-02 22:12:52,overcast clouds
257,San Jose De Las Lajas,22.9614,-82.1511,89.6,48,20,9.22,CU,2021-05-02 22:12:53,few clouds
258,Opuwo,-18.0607,13.84,65.21,71,21,7.38,NA,2021-05-02 22:12:55,light rain
259,Rawson,-43.3002,-65.1023,59.94,39,89,12.01,AR,2021-05-02 22:10:49,overcast clouds
